,year,percentage
0,2007,54.831460674157306
1,2018,20.158788702319715
2,2015,24.70691640904407
3,2006,27.545905767867186
4,2013,28.63247863247863
5,2014,17.854283426741393
6,2019,22.095386236483606
7,2020,12.830826629357583
8,2012,34.21052631578947
9,2009,52.22551928783383
10,2016,19.909011882833653
11,2001,15.505335844318896
12,2005,31.338799113339082
13,2010,40.78431372549019
14,2011,36.1003861003861
15,2008,53.441295546558706
16,2017,19.888589286955984
17,2003,29.99967490599365
18,2002,28.068692520610732
19,2004,31.082734630377402
